Edge Type,Node Type,name,single,release_date,genre,notable,written_date,notoriety_date
PerformerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
ProducerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
LyricistOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
LyricistOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
ProducerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
LyricistOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
ProducerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
ProducerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
ComposerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
ComposerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
InStyleOf,Album,Sober Streets,False,2007,Blues Rock,True,2007,2007
RecordedBy,Album,Sober Streets,False,2007,Blues Rock,True,2007,2007
ProducerOf,Person,Alexis Church,False,2007,Blues Rock,True,2007,2007
ComposerOf,Person,Hansh Ramanathan,False,2007,Blues Rock,True,2007,2007
PerformerOf,Person,Hansh Ramanathan,False,2007,Blues Rock,True,2007,2007
ComposerOf,Person,Hansh Ramanathan,False,2007,Blues Rock,True,2007,2007
ComposerOf,Person,Hansh Ramanathan,False,2007,Blues Rock,True,2007,2007
RecordedBy,Song,Healthier Than Yesterday,True,2010,Indie Folk,True,2010,2010
PerformerOf,Person,Na Dong,True,2010,Indie Folk,True,2010,2010
LyricistOf,Person,Na Dong,True,2010,Indie Folk,True,2010,2010
ComposerOf,Person,Na Dong,True,2010,Indie Folk,True,2010,2010
ComposerOf,Person,Na Dong,True,2010,Indie Folk,True,2010,2010
PerformerOf,Person,Na Dong,True,2010,Indie Folk,True,2010,2010
RecordedBy,Song,Midnight Clarity,True,2020,Synthwave,True,2020,2020
DistributedBy,Song,Midnight Clarity,True,2020,Synthwave,True,2020,2020
LyricistOf,Person,James Taylor,True,2020,Synthwave,True,2020,2020
PerformerOf,Person,James Taylor,True,2020,Synthwave,True,2020,2020
ComposerOf,Person,James Taylor,True,2020,Synthwave,True,2020,2020
ComposerOf,Person,James Taylor,True,2020,Synthwave,True,2020,2020
PerformerOf,Person,James Taylor,True,2020,Synthwave,True,2020,2020
ProducerOf,Person,James Taylor,True,2020,Synthwave,True,2020,2020
ProducerOf,Person,Jennifer Smith,True,2020,Synthwave,True,2020,2020
PerformerOf,Person,Jennifer Smith,True,2020,Synthwave,True,2020,2020
ComposerOf,Person,Kyle Anderson,True,2020,Synthwave,True,2020,2020
PerformerOf,Person,Kyle Anderson,True,2020,Synthwave,True,2020,2020
DirectlySamples,Song,Arcane Whispers,False,2017,Indie Folk,True,2017,2017
LyricalReferenceTo,Song,Arcane Whispers,False,2017,Indie Folk,True,2017,2017
RecordedBy,Song,Arcane Whispers,False,2017,Indie Folk,True,2017,2017
LyricistOf,Person,Xia Yang,False,2017,Indie Folk,True,2017,2017
ComposerOf,Person,Tao Zeng,False,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Tao Zeng,False,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Guiying Qin,False,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Na Guo,False,2017,Indie Folk,True,2017,2017
ProducerOf,Person,Na Guo,False,2017,Indie Folk,True,2017,2017
LyricistOf,Person,Na Guo,False,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Na Guo,False,2017,Indie Folk,True,2017,2017
ProducerOf,Person,Na Guo,False,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Na Guo,False,2017,Indie Folk,True,2017,2017
DirectlySamples,Song,Starlight's Sorcerer,True,2003,Alternative Rock,True,2003,2003
RecordedBy,Song,Starlight's Sorcerer,True,2003,Alternative Rock,True,2003,2003
DistributedBy,Song,Starlight's Sorcerer,True,2003,Alternative Rock,True,2003,2003
PerformerOf,Person,Miki Hasegawa,True,2003,Alternative Rock,True,2003,2003
PerformerOf,Person,Miki Hasegawa,True,2003,Alternative Rock,True,2003,2003
PerformerOf,Person,Asuka Takahashi,True,2003,Alternative Rock,True,2003,2003
ProducerOf,Person,Asuka Takahashi,True,2003,Alternative Rock,True,2003,2003
LyricistOf,Person,Asuka Takahashi,True,2003,Alternative Rock,True,2003,2003
PerformerOf,Person,Asuka Takahashi,True,2003,Alternative Rock,True,2003,2003
PerformerOf,Person,Asuka Takahashi,True,2003,Alternative Rock,True,2003,2003
ProducerOf,Person,Asuka Takahashi,True,2003,Alternative Rock,True,2003,2003
ComposerOf,Person,Miki Miura,True,2003,Alternative Rock,True,2003,2003
PerformerOf,Person,Miki Miura,True,2003,Alternative Rock,True,2003,2003
InterpolatesFrom,Song,Runes and Riddles,True,2023,Americana,True,2023,2023
InStyleOf,Song,Runes and Riddles,True,2023,Americana,True,2023,2023
RecordedBy,Song,Runes and Riddles,True,2023,Americana,True,2023,2023
DistributedBy,Song,Runes and Riddles,True,2023,Americana,True,2023,2023
LyricistOf,Person,Mitchell Hernandez,True,2023,Americana,True,2023,2023
ProducerOf,Person,Christopher Harris,True,2023,Americana,True,2023,2023
PerformerOf,Person,Min Qiao,True,2023,Americana,True,2023,2023
PerformerOf,Person,April Morris,True,2023,Americana,True,2023,2023
PerformerOf,Person,Sara Parker,True,2023,Americana,True,2023,2023
PerformerOf,Person,Sara Parker,True,2023,Americana,True,2023,2023
ProducerOf,Person,Sara Parker,True,2023,Americana,True,2023,2023
ProducerOf,Person,Sara Parker,True,2023,Americana,True,2023,2023
PerformerOf,Person,Sara Parker,True,2023,Americana,True,2023,2023
ProducerOf,Person,Sara Parker,True,2023,Americana,True,2023,2023
PerformerOf,Person,Gang Su,True,2023,Americana,True,2023,2023
MemberOf,Person,Guiying Pan,True,2023,Americana,True,2023,2023
PerformerOf,Person,Guiying Pan,True,2023,Americana,True,2023,2023
PerformerOf,Person,Guiying Pan,True,2023,Americana,True,2023,2023
PerformerOf,Person,Guiying Pan,True,2023,Americana,True,2023,2023
PerformerOf,Person,Guiying Pan,True,2023,Americana,True,2023,2023
ProducerOf,Person,Guiying Pan,True,2023,Americana,True,2023,2023
LyricalReferenceTo,Album,Forgotten Incantation,True,2017,Indie Folk,True,2017,2017
InterpolatesFrom,Album,Forgotten Incantation,True,2017,Indie Folk,True,2017,2017
RecordedBy,Album,Forgotten Incantation,True,2017,Indie Folk,True,2017,2017
DistributedBy,Album,Forgotten Incantation,True,2017,Indie Folk,True,2017,2017
LyricistOf,Person,Amy Mejia,True,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Amy Mejia,True,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Yang Pan,True,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Min Hu,True,2017,Indie Folk,True,2017,2017
LyricistOf,Person,Min Hu,True,2017,Indie Folk,True,2017,2017
ComposerOf,Person,Min Hu,True,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Min Hu,True,2017,Indie Folk,True,2017,2017
ComposerOf,Person,Min Hu,True,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Min Hu,True,2017,Indie Folk,True,2017,2017
LyricistOf,Person,Min Hu,True,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Min Hu,True,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Juan Feng,True,2017,Indie Folk,True,2017,2017
ComposerOf,Person,Juan Feng,True,2017,Indie Folk,True,2017,2017
ComposerOf,Person,Juan Feng,True,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Juan Feng,True,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Juan Feng,True,2017,Indie Folk,True,2017,2017
ComposerOf,Person,Juan Feng,True,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Juan Feng,True,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Ming Ren,True,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Ming Ren,True,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Ming Ren,True,2017,Indie Folk,True,2017,2017
ProducerOf,Person,Ming Ren,True,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Ming Ren,True,2017,Indie Folk,True,2017,2017
PerformerOf,Person,Ming Ren,True,2017,Indie Folk,True,2017,2017
RecordedBy,Song,Elektronische Schritte Mit Italienern,True,1997,Indie Pop,True,1997,1997
DistributedBy,Song,Elektronische Schritte Mit Italienern,True,1997,Indie Pop,True,1997,1997
MemberOf,Person,Min Ye,True,1997,Indie Pop,True,1997,1997
PerformerOf,Person,Min Ye,True,1997,Indie Pop,True,1997,1997
LyricistOf,Person,Min Ye,True,1997,Indie Pop,True,1997,1997
LyricistOf,Person,Min Ye,True,1997,Indie Pop,True,1997,1997
PerformerOf,Person,Min Ye,True,1997,Indie Pop,True,1997,1997
PerformerOf,Person,Min Ye,True,1997,Indie Pop,True,1997,1997
PerformerOf,Person,Min Ye,True,1997,Indie Pop,True,1997,1997
MemberOf,Person,Loretta Roberts,True,1997,Indie Pop,True,1997,1997
ComposerOf,Person,Loretta Roberts,True,1997,Indie Pop,True,1997,1997
PerformerOf,Person,Loretta Roberts,True,1997,Indie Pop,True,1997,1997
PerformerOf,Person,Loretta Roberts,True,1997,Indie Pop,True,1997,1997
PerformerOf,Person,Loretta Roberts,True,1997,Indie Pop,True,1997,1997
CoverOf,Song,Retro-Rhythmen Der 80er,True,2013,Americana,True,2013,2013
RecordedBy,Song,Retro-Rhythmen Der 80er,True,2013,Americana,True,2013,2013
PerformerOf,Person,Jun Gu,True,2013,Americana,True,2013,2013
PerformerOf,Person,Jun Gu,True,2013,Americana,True,2013,2013
ProducerOf,Person,Yan Feng,True,2013,Americana,True,2013,2013
ComposerOf,Person,Xiuying Dong,True,2013,Americana,True,2013,2013
PerformerOf,Person,Xiuying Dong,True,2013,Americana,True,2013,2013
LyricistOf,Person,Xiuying Dong,True,2013,Americana,True,2013,2013
MemberOf,Person,Xiulan Li,True,2013,Americana,True,2013,2013
LyricistOf,Person,Xiulan Li,True,2013,Americana,True,2013,2013
PerformerOf,Person,Xiulan Li,True,2013,Americana,True,2013,2013
ComposerOf,Person,Xiulan Li,True,2013,Americana,True,2013,2013
PerformerOf,Person,Xiulan Li,True,2013,Americana,True,2013,2013
LyricistOf,Person,Xiulan Li,True,2013,Americana,True,2013,2013
PerformerOf,Person,Xiulan Li,True,2013,Americana,True,2013,2013
InterpolatesFrom,Song,Synth-Pop Tanz Explosion,True,2023,Americana,True,2023,2023
LyricalReferenceTo,Song,Synth-Pop Tanz Explosion,True,2023,Americana,True,2023,2023
RecordedBy,Song,Synth-Pop Tanz Explosion,True,2023,Americana,True,2023,2023
DistributedBy,Song,Synth-Pop Tanz Explosion,True,2023,Americana,True,2023,2023
ComposerOf,Person,Jun Fan,True,2023,Americana,True,2023,2023
PerformerOf,Person,Jun Fan,True,2023,Americana,True,2023,2023
PerformerOf,Person,Jun Fan,True,2023,Americana,True,2023,2023
PerformerOf,Person,Yan Yuan,True,2023,Americana,True,2023,2023
PerformerOf,Person,Diana Johnson,True,2023,Americana,True,2023,2023
LyricistOf,Person,Tammy Washington,True,2023,Americana,True,2023,2023
PerformerOf,Person,Lei Zhou,True,2023,Americana,True,2023,2023
ComposerOf,Person,Yong Yu,True,2023,Americana,True,2023,2023
PerformerOf,Person,Yong Yu,True,2023,Americana,True,2023,2023
PerformerOf,Person,Yong Yu,True,2023,Americana,True,2023,2023
MemberOf,Person,Miki Hayashi,True,2023,Americana,True,2023,2023
PerformerOf,Person,Miki Hayashi,True,2023,Americana,True,2023,2023
PerformerOf,Person,Miki Hayashi,True,2023,Americana,True,2023,2023
PerformerOf,Person,Miki Hayashi,True,2023,Americana,True,2023,2023
PerformerOf,Person,Miki Hayashi,True,2023,Americana,True,2023,2023
PerformerOf,Person,Miki Hayashi,True,2023,Americana,True,2023,2023
PerformerOf,Person,Miki Hayashi,True,2023,Americana,True,2023,2023
PerformerOf,Person,Miki Hayashi,True,2023,Americana,True,2023,2023
CoverOf,Song,Neon Nacht Bewegung,True,2000,Doom Metal,True,2000,2000
DistributedBy,Song,Neon Nacht Bewegung,True,2000,Doom Metal,True,2000,2000
ComposerOf,Person,Cristina Marenzio,True,2000,Doom Metal,True,2000,2000
PerformerOf,Person,Cristina Marenzio,True,2000,Doom Metal,True,2000,2000
PerformerOf,Person,Enzio Caffarelli,True,2000,Doom Metal,True,2000,2000
ProducerOf,Person,Enzio Caffarelli,True,2000,Doom Metal,True,2000,2000
InStyleOf,Song,Borderless Horizons,True,2020,Blues Rock,True,2020,2020
InStyleOf,Song,Borderless Horizons,True,2020,Blues Rock,True,2020,2020
InterpolatesFrom,Song,Borderless Horizons,True,2020,Blues Rock,True,2020,2020
LyricalReferenceTo,Song,Borderless Horizons,True,2020,Blues Rock,True,2020,2020
RecordedBy,Song,Borderless Horizons,True,2020,Blues Rock,True,2020,2020
DistributedBy,Song,Borderless Horizons,True,2020,Blues Rock,True,2020,2020
MemberOf,Person,Pompeo Turchi,True,2020,Blues Rock,True,2020,2020
PerformerOf,Person,Pompeo Turchi,True,2020,Blues Rock,True,2020,2020
ComposerOf,Person,Pompeo Turchi,True,2020,Blues Rock,True,2020,2020
PerformerOf,Person,Pompeo Turchi,True,2020,Blues Rock,True,2020,2020
PerformerOf,Person,Pompeo Turchi,True,2020,Blues Rock,True,2020,2020
PerformerOf,Person,Brandon Vasquez,True,2020,Blues Rock,True,2020,2020
LyricistOf,Person,Brandon Vasquez,True,2020,Blues Rock,True,2020,2020
PerformerOf,Person,Brandon Vasquez,True,2020,Blues Rock,True,2020,2020
LyricistOf,Person,Brandon Vasquez,True,2020,Blues Rock,True,2020,2020
PerformerOf,Person,Brandon Vasquez,True,2020,Blues Rock,True,2020,2020
PerformerOf,Person,Brandon Vasquez,True,2020,Blues Rock,True,2020,2020
MemberOf,Person,Audrey-Camille Nicolas,True,2020,Blues Rock,True,2020,2020
ProducerOf,Person,Audrey-Camille Nicolas,True,2020,Blues Rock,True,2020,2020
ProducerOf,Person,Audrey-Camille Nicolas,True,2020,Blues Rock,True,2020,2020
PerformerOf,Person,Audrey-Camille Nicolas,True,2020,Blues Rock,True,2020,2020
PerformerOf,Person,Audrey-Camille Nicolas,True,2020,Blues Rock,True,2020,2020
PerformerOf,Person,Audrey-Camille Nicolas,True,2020,Blues Rock,True,2020,2020
ProducerOf,Person,Audrey-Camille Nicolas,True,2020,Blues Rock,True,2020,2020
LyricistOf,Person,Audrey-Camille Nicolas,True,2020,Blues Rock,True,2020,2020
LyricistOf,Person,Audrey-Camille Nicolas,True,2020,Blues Rock,True,2020,2020
PerformerOf,Person,Audrey-Camille Nicolas,True,2020,Blues Rock,True,2020,2020
RecordedBy,Song,Cartographic Dreams,True,2007,Lo-Fi Electronica,True,2007,2007
DistributedBy,Song,Cartographic Dreams,True,2007,Lo-Fi Electronica,True,2007,2007
ProducerOf,Person,Fang Zhong,True,2007,Lo-Fi Electronica,True,2007,2007
ComposerOf,Person,Fang Zhong,True,2007,Lo-Fi Electronica,True,2007,2007
PerformerOf,Person,Fang Zhong,True,2007,Lo-Fi Electronica,True,2007,2007
LyricistOf,Person,Jie Long,True,2007,Lo-Fi Electronica,True,2007,2007
PerformerOf,Person,Jie Long,True,2007,Lo-Fi Electronica,True,2007,2007
ComposerOf,Person,Jie Long,True,2007,Lo-Fi Electronica,True,2007,2007
PerformerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
ProducerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
PerformerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
ProducerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
ProducerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
ProducerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
ProducerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
PerformerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
PerformerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
ProducerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
ProducerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
ProducerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
PerformerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
ProducerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
PerformerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
PerformerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
ProducerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
LyricistOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
PerformerOf,Person,Ping Meng,True,2007,Lo-Fi Electronica,True,2007,2007
ComposerOf,Person,Wei Ye,True,2007,Lo-Fi Electronica,True,2007,2007
PerformerOf,Person,Wei Ye,True,2007,Lo-Fi Electronica,True,2007,2007
ProducerOf,Person,Wei Ye,True,2007,Lo-Fi Electronica,True,2007,2007
InterpolatesFrom,Song,Invisible Lines,True,2025,Indie Folk,True,2025,2025
RecordedBy,Song,Invisible Lines,True,2025,Indie Folk,True,2025,2025
PerformerOf,Person,Sabina Hrušková,True,2025,Indie Folk,True,2025,2025
PerformerOf,Person,Naděžda Pešková,True,2025,Indie Folk,True,2025,2025
PerformerOf,Person,Michal Žák,True,2025,Indie Folk,True,2025,2025
PerformerOf,Person,Miluše Dušková,True,2025,Indie Folk,True,2025,2025
PerformerOf,Person,Miloš Pokorný,True,2025,Indie Folk,True,2025,2025
LyricistOf,Person,Miloš Pokorný,True,2025,Indie Folk,True,2025,2025
ComposerOf,Person,Miloš Pokorný,True,2025,Indie Folk,True,2025,2025
PerformerOf,Person,Miloš Pokorný,True,2025,Indie Folk,True,2025,2025
ProducerOf,Person,Miloš Pokorný,True,2025,Indie Folk,True,2025,2025
DirectlySamples,Song,Sovereign Echoes,True,2026,Indie Rock,True,2026,2026
LyricalReferenceTo,Song,Sovereign Echoes,True,2026,Indie Rock,True,2026,2026
RecordedBy,Song,Sovereign Echoes,True,2026,Indie Rock,True,2026,2026
DistributedBy,Song,Sovereign Echoes,True,2026,Indie Rock,True,2026,2026
ProducerOf,Person,Kim Gonzalez,True,2026,Indie Rock,True,2026,2026
LyricistOf,Person,Yang Gu,True,2026,Indie Rock,True,2026,2026
PerformerOf,Person,Li Lin,True,2026,Indie Rock,True,2026,2026
PerformerOf,Person,Jie Yu,True,2026,Indie Rock,True,2026,2026
LyricistOf,Person,Juan Luo,True,2026,Indie Rock,True,2026,2026
PerformerOf,Person,Steven Cordova,True,2026,Indie Rock,True,2026,2026
PerformerOf,Person,Xia Chang,True,2026,Indie Rock,True,2026,2026
PerformerOf,Person,Fang Kong,True,2026,Indie Rock,True,2026,2026
